Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2026-09-16,EDGX Equities (K),145051834.000000,160905559.000000,449253205.000000,755210598.000000,7794310383.311099,8505051863.877298,16959762156.783807,33259124403.972204,1572988,1030726,2992126,5595840
2026-09-16,LTSE (L),833244.000000,713611.000000,989105.000000,2535960.000000,49720428.660000,41612074.549400,42123091.367800,133455594.577200,10577,4373,21712,36662
2026-09-16,NYSE Texas (M),15038214.000000,15276562.000000,19666709.000000,49981485.000000,1778367353.737600,3386170975.106501,2260202064.396800,7424740393.240901,59612,19209,71604,150425
2026-09-16,NYSE (N),1389683814.000000,85339782.000000,156153884.000000,1631177480.000000,86711280693.972388,4892977876.591601,5988789641.086097,97593048211.650086,6194752,455196,1193094,7843042
2026-09-16,NYSE Arca (P),272055298.000000,503070316.000000,1358154742.000000,2133280356.000000,14145436584.250401,36636408555.362092,34213485341.761840,84995330481.374333,3322320,2732359,7941610,13996289
2026-09-16,NASDAQ (Q),452764290.000000,286510236.000000,1756443099.000000,2495717625.000000,25150031313.874313,23249918611.647904,121253674699.929419,169653624625.451636,6344148,1982904,11623364,19950416
2026-09-16,Members Exchange (U),47732910.000000,61813866.000000,240424164.000000,349970940.000000,2650575313.994600,3390786069.905299,5650736450.546100,11692097834.445999,580161,386412,1134311,2100884
2026-09-16,Investors Exchange (V),303963994.000000,141540416.000000,325804263.000000,771308673.000000,15552827092.332100,8349741770.160299,16592537561.412696,40495106423.905095,3441282,649093,3226439,7316814
2026-09-16,NASDAQ PSX (X),5585955.000000,4660406.000000,8727267.000000,18973628.000000,346881437.669800,517379632.481800,568554257.007400,1432815327.159000,69451,33857,98456,201764
2026-09-16,BYX Equities (Y),38172196.000000,31375426.000000,56803893.000000,126351515.000000,1840875566.364200,1652500320.228200,2213405431.625002,5706781318.217402,484248,202566,596432,1283246
2026-09-16,BZX Equities (Z),205095458.000000,161681905.000000,265252256.000000,632029619.000000,11980082522.701703,11031080457.075201,17301066104.063111,40312229083.840015,2877335,1101936,2935822,6915093
2026-09-15,NYSE American (A),6478949.000000,19232023.000000,6788730.000000,32499702.000000,381844221.482100,361419375.770900,420939645.910300,1164203243.163300,82286,82294,81379,245959
2026-09-15,NASDAQ Texas (B),11459043.000000,10433417.000000,27828892.000000,49721352.000000,755639011.270200,491544912.436600,958871141.105800,2206055064.812600,154995,67511,186952,409458
2026-09-15,NYSE National (C),20832812.000000,9969380.000000,22503588.000000,53305780.000000,787435507.616900,465061559.320600,716142529.532700,1968639596.470200,254995,70948,228409,554352
2026-09-15,FINRA / Nasdaq TRF Chicago (DB),13624452.475696,8472493.484508,31142551.160781,53239497.120985,802788202.503201,462863551.846680,2676840432.303602,3942492186.653483,120816,45290,244601,410707
2026-09-15,FINRA / NYSE TRF (DN),109680785.956370,62820126.238842,270650652.898899,443151565.094111,5980538250.793893,3229087335.623147,9753518719.057837,18963144305.474877,820846,299625,1348959,2469430
2026-09-15,FINRA / Nasdaq TRF Carteret (DQ),2493778862.788756,1522402435.249647,4238650393.290728,8254831691.329131,133252919748.016761,99439366272.441020,195312119651.566401,428004405672.024182,22090018,5749005,27819710,55658733
2026-09-15,Texas Stock Exchange (F),6252017.000000,3320687.000000,12960890.000000,22533594.000000,205933220.425500,132199044.442500,294763465.707300,632895730.575300,59843,18394,92037,170274
2026-09-15,24X National Exchange (G),1422918.000000,1701825.000000,3181433.000000,6306176.000000,53074338.414200,62692670.663800,119355238.731200,235122247.809200,12342,8727,25567,46636
2026-09-15,MIAX Pearl (H),19465561.000000,26274046.000000,55703747.000000,101443354.000000,849491133.967500,1245576214.995600,1441147820.516700,3536215169.479800,207050,144758,359319,711127
2026-09-15,EDGA Equities (J),28075909.000000,18446853.000000,71944391.000000,118467153.000000,1399797460.138100,1031566614.519600,1664065566.185300,4095429640.843000,368651,118815,493797,981263
2026-09-15,EDGX Equities (K),135127396.000000,121831795.000000,333196199.000000,590155390.000000,7036956813.848203,6164174855.619904,15022197678.527197,28223329347.995304,1496492,790573,2614911,4901976
2026-09-15,LTSE (L),517716.000000,432156.000000,784779.000000,1734651.000000,27878816.100000,19144428.349000,28881117.331300,75904361.780300,6681,3743,21131,31555
2026-09-15,NYSE Texas (M),22067689.000000,17677459.000000,31411206.000000,71156354.000000,2559867413.324700,3262432297.270102,4700665911.123703,10522965621.718505,68234,17137,72885,158256
2026-09-15,NYSE (N),1184577881.000000,64980190.000000,137503380.000000,1387061451.000000,74344755592.738709,3543603090.641500,5516224485.871300,83404583169.251509,6019948,386529,1093966,7500443
2026-09-15,NYSE Arca (P),252155776.000000,400773016.000000,854649273.000000,1507578065.000000,13193604424.022500,27718554354.359407,29799007398.690205,70711166177.072112,3127152,2137019,6663419,11927590
2026-09-15,NASDAQ (Q),426220337.000000,222194212.000000,1464198525.000000,2112613074.000000,24040196828.713100,16245901085.546797,104856215768.373927,145142313682.633824,6144750,1518570,10746150,18409470
2026-09-15,Members Exchange (U),47253810.000000,46654143.000000,155820652.000000,249728605.000000,2548875734.478600,2376234541.293199,4816703903.777000,9741814179.548799,571977,281642,940704,1794323
2026-09-15,Investors Exchange (V),296351347.000000,128911516.000000,301409867.000000,726672730.000000,15070230187.899296,7006480439.104400,15796461023.327508,37873171650.331204,3306620,579292,3054150,6940062
2026-09-15,NASDAQ PSX (X),5256507.000000,3281040.000000,7167960.000000,15705507.000000,345998532.375700,271505674.357300,448883963.699100,1066388170.432100,70496,22482,86683,179661
2026-09-15,BYX Equities (Y),40124756.000000,24492769.000000,54368631.000000,118986156.000000,1669521736.909100,1221529704.319700,2111501816.996100,5002553258.224900,499771,184636,584178,1268585
2026-09-15,BZX Equities (Z),196396104.000000,125781506.000000,233065264.000000,555242874.000000,11717533141.770100,8273222902.971101,15477922065.766006,35468678110.507207,2800396,851645,2712662,6364703
2026-09-14,NYSE American (A),7176457.000000,25401431.000000,6973814.000000,39551702.000000,443271459.983200,406026788.225200,533066016.203100,1382364264.411500,85689,99936,86972,272597
2026-09-14,NASDAQ Texas (B),10706799.000000,11946985.000000,22038456.000000,44692240.000000,761796567.567300,613853832.023900,1194494601.007300,2570145000.598500,148825,78364,204233,431422
2026-09-14,NYSE National (C),20216478.000000,10880593.000000,18321564.000000,49418635.000000,818730824.960800,558400581.535200,842361043.793400,2219492450.289400,252277,80857,228288,561422
2026-09-14,FINRA / Nasdaq TRF Chicago (DB),14163118.839720,9887132.884469,30170829.336156,54221081.060345,910926215.893219,551402592.144005,3132337141.712242,4594665949.749466,142837,58964,300443,502244
2026-09-14,FINRA / NYSE TRF (DN),122048667.874867,78981427.448285,231702949.383780,432733044.706932,6905355173.339492,3228655191.755325,12246666875.637836,22380677240.732653,876853,352750,1339937,2569540
2026-09-14,FINRA / Nasdaq TRF Carteret (DQ),2231849199.662502,1624179990.560048,3661896040.849835,7517925231.072385,128034618345.384339,86205590506.266296,211570823843.682613,425811032695.333248,23251272,6616722,29255586,59123580
2026-09-14,Texas Stock Exchange (F),5613765.000000,3476762.000000,10950060.000000,20040587.000000,197790525.934300,172883397.827000,312878784.241600,683552708.002900,56673,22127,93048,171848
2026-09-14,24X National Exchange (G),1136199.000000,2729040.000000,2756051.000000,6621290.000000,66663965.356600,104660344.569400,172341519.996500,343665829.922500,12106,13795,28945,54846
2026-09-14,MIAX Pearl (H),17554988.000000,31643054.000000,45935170.000000,95133212.000000,828805610.687300,1411589116.812600,1617149813.153801,3857544540.653701,192271,168046,321423,681740
2026-09-14,EDGA Equities (J),28802090.000000,28934622.000000,66278619.000000,124015331.000000,1386821859.109800,1228897321.003800,1875692258.571601,4491411438.685201,361650,150233,480613,992496
2026-09-14,EDGX Equities (K),138614088.000000,160901879.000000,321620534.000000,621136501.000000,7826942254.921195,8036398769.051797,18667164410.194586,34530505434.167578,1589085,1109060,2801363,5499508
2026-09-14,LTSE (L),715360.000000,316412.000000,758093.000000,1789865.000000,40147008.445000,22957250.084800,35030211.031300,98134469.561100,8544,3149,21561,33254
2026-09-14,NYSE Texas (M),25495190.000000,20155450.000000,29059412.000000,74710052.000000,1668285205.035100,3023318268.442400,5773926592.538799,10465530066.016299,60545,14805,68143,143493
2026-09-14,NYSE (N),1194427886.000000,72006513.000000,124753035.000000,1391187434.000000,76662603992.684792,4014558295.321601,6346745390.684399,87023907678.690792,6144995,433458,1106642,7685095
2026-09-14,NYSE Arca (P),276066482.000000,517074225.000000,751091460.000000,1544232167.000000,15339438502.165499,35110665367.279988,38727903163.927974,89178007033.373461,3436002,2916738,7131250,13483990
2026-09-14,NASDAQ (Q),435913089.000000,278157498.000000,1495629238.000000,2209699825.000000,25874789703.490898,20436353912.960496,129518561664.743611,175829705281.195005,6195773,1966939,11722420,19885132
2026-09-14,Members Exchange (U),48865066.000000,66480067.000000,134266163.000000,249611296.000000,2847748358.743701,3106402162.509298,6098611600.785498,12052762122.038497,610203,390690,954966,1955859
2026-09-14,Investors Exchange (V),284607580.000000,142429514.000000,284116234.000000,711153328.000000,15366371192.674002,7761740658.424099,17322102550.613899,40450214401.712000,3283879,626786,3023004,6933669
2026-09-14,NASDAQ PSX (X),6389184.000000,4214912.000000,7308139.000000,17912235.000000,449279120.244300,400878028.679500,663493033.405300,1513650182.329100,81305,29867,99170,210342
2026-09-14,BYX Equities (Y),36584692.000000,28619798.000000,44232405.000000,109436895.000000,1718909908.384400,1481362440.102300,2355418924.801000,5555691273.287700,483885,198432,565667,1247984
2026-09-14,BZX Equities (Z),202662016.000000,160352998.000000,230228154.000000,593243168.000000,12454279368.054095,9990245889.347999,18925871302.622803,41370396560.024897,2877128,1071529,2881166,6829823
2026-09-11,NYSE American (A),5776427.000000,24270284.000000,6272212.000000,36318923.000000,314905617.816500,342710464.945500,411180858.906100,1068796941.668100,63274,84246,70511,218031
2026-09-11,NASDAQ Texas (B),9955991.000000,10943038.000000,19774282.000000,40673311.000000,651158265.630000,530853409.951000,1027217394.608700,2209229070.189700,136312,68704,182306,387322
2026-09-11,NYSE National (C),19792965.000000,9890003.000000,18828165.000000,48511133.000000,744303110.369900,462029341.358800,739027021.819200,1945359473.547900,234589,68645,218041,521275
2026-09-11,FINRA / Nasdaq TRF Chicago (DB),14110387.461192,8308073.949116,28107176.724203,50525638.134511,1009917389.336490,513641982.397476,2740396829.611703,4263956201.345669,130862,44683,233889,409434
2026-09-11,FINRA / NYSE TRF (DN),101365423.707750,77448560.685592,214489146.267660,393303130.661002,5714164768.544840,4016653113.107960,9867314225.244652,19598132106.897452,769802,274516,1141718,2186036
