trade_date,share_volume_robust_z,dollar_volume_robust_z,trade_count_robust_z,market_share_pct_robust_z,avg_shares_per_trade_robust_z,flag
2026-07-10,,,,,,False
2026-07-13,,,,,,False
2026-07-14,,,,,,False
2026-07-15,,,,,,False
2026-07-16,,,,,,False
2026-07-17,,,,,,False
2026-07-20,,,,,,False
2026-07-21,,,,,,False
2026-07-22,,,,,,False
2026-07-23,,,,,,False
2026-07-24,,,,,,False
2026-07-27,,,,,,False
2026-07-28,,,,,,False
2026-07-29,,,,,,False
2026-07-30,,,,,,False
2026-07-31,,,,,,False
2026-08-03,,,,,,False
2026-08-04,,,,,,False
2026-08-05,,,,,,False
2026-08-06,,,,,,False
2026-08-07,3.643632928929337,1.4555432084422062,1.4861435607371902,3.3437037486999754,2.3793626425120604,True
2026-08-10,0.3466991514465091,0.04074585560034883,0.16714935442640674,0.42323008001795287,0.38664010238634855,False
2026-08-11,0.34679837718571954,-0.22793595204060357,-0.0008170990724966875,0.49686952246486976,0.4580001911916005,False
2026-08-12,2.343624334312093,0.640294216911413,2.3013838326826206,2.7127325582359636,-0.45509982154792594,False
2026-08-13,2.6607623558342404,0.8616870749368744,2.181942123205492,2.8557123667724897,-0.156435093807729,False
2026-08-14,1.140525921492192,0.20247688552989837,1.172661367829987,1.4548246045461117,-0.0877926570301059,False
2026-08-17,0.13926830657266728,-0.3680152417830911,-0.023694913036210265,0.2076234211358422,0.5042848902534326,False
2026-08-18,0.30730638788899717,-0.015718094142311317,0.43353341906857357,0.3955716989143432,0.3183182380646714,False
2026-08-19,0.557733454235064,0.5117188256713773,0.6974316931559174,0.290114080987982,0.5634561243140254,False
2026-08-20,-0.04740089257394085,-0.2888230875907381,0.04498821542002166,-0.04325582505834604,0.28658574273874404,False
2026-08-21,-0.11156978276290033,-0.5195639193037225,-0.047422668475793746,0.06990147337870356,0.1699966838982472,False
2026-08-24,-0.13299505178286442,-0.7920495715711829,-0.6720966587581992,0.060198005994377246,1.7730349639829752,False
2026-08-25,-0.4599676257989893,-0.693483534181011,-0.3568071649399308,-0.3468041092052726,-0.31298020979302893,False
2026-08-26,-0.2721492717361725,-0.37856417117576835,0.14166290089345307,-0.09318482729674589,-0.5116901524442659,False
2026-08-27,-0.04496672484541082,0.3358962014885386,0.19507007106737537,0.10060372097243858,-0.16339830271874967,False
2026-08-28,-0.31466076741848986,0.2740030129794783,0.4208933752813463,-0.21992177719198516,-1.0233975783879787,False
2026-08-31,0.9885351981876,0.37571594602131353,2.8203840354702803,1.4732041585331956,-1.2552257695392142,False
2026-09-01,1.0974933317797733,2.0858860125599703,4.982007710692326,2.208070466326446,-2.262398115646111,True
2026-09-02,0.8274960849714819,1.117706096368722,3.8388005789683444,0.9916289827039965,-1.7446348453440268,True
2026-09-03,1.3497271113398077,1.178122144828866,2.6331933406518853,1.1760875542352605,-1.4999949508398478,False
2026-09-04,1.053663419346029,1.0855847962032001,1.4925800972358974,1.4491384077585363,-1.3260616921087522,False
2026-09-08,0.9482225163072353,1.941175830415721,1.6535393273467713,0.7121981977847875,-1.6418222661528894,False
2026-09-09,1.8169915470895628,1.3537999332877375,1.5048114274249642,1.7839906580102096,-0.37867647650018155,False
2026-09-10,1.2962182341794355,1.8667611450834294,1.5146327707552507,1.2629918934309532,-1.1341048039138364,False
2026-09-11,1.2805422203073527,1.2819648780426574,1.317661349243335,1.6675167858655078,-0.8851966635299815,False
2026-09-14,1.0579670267933259,1.847259481472906,1.655836324669401,1.0157926031181834,-1.1960425537693884,False
2026-09-15,1.350504637809972,1.4214014088265055,1.3896464718774966,1.3072482573067972,-0.6357018687320207,False
